Nest,Species,NumTreelt1in,NumTree1to3in,NumTree3to6in,NumTree6to9in,NumTree9to15in,NumTreegt15in,NumSnags,NumDownSnags,PctShrubCover,NumConifer,StandType
0,Non-nest,3,17,104,9,2,0,3,3,0.2,7,0
0,Non-nest,9,12,104,11,0,0,3,10,0.2,1,0
0,Non-nest,212,105,79,61,13,3,17,39,0.1,0,0
0,Non-nest,193,3,1,7,39,9,4,8,0.1,1,0
0,Non-nest,190,25,9,44,20,0,3,12,0.4,1,0
0,Non-nest,12,22,31,16,10,0,1,7,0.1,2,0
1,Flicker,10,86,6,7,0,0,9,27,0,8,0
1,Flicker,0,32,3,2,1,2,1,0,0.4,4,0
1,Chickadee,5,8,0,21,7,3,3,0,0.1,0,1
1,Chickadee,1,13,37,8,8,0,7,7,0.2,19,0
